[log] 运行日志写入: log/run_ACM_20260831_162605.log
[config] cand_sources=embed num_cand_per_node=5 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.0 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.0 ilssc_warmup=0 ilssc_ramp=0 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(10, 20, 50, 'oracle') cs_w_list=(0.0, 0.1, 0.2, 0.3, 0.5, 0.7, 1.0, 1.5, 2.0) greedy_patience=0 greedy_min_gain_tol=0.0 greedy_size_penalty=0.0 greedy_balance_alpha=0.15 greedy_max_size=0 greedy_adaptive_cap_alpha=0.0 greedy_adaptive_cap_floor=0 greedy_trace_cap_ratio=1.5 trace_early_stop_w=None frontier_batch_size=1 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.0 greedy_comm_cohesion_beta=0.0 greedy_comm_direct_beta=0.0 greedy_boundary_gamma=0.0 greedy_hse_pool_size=0 greedy_hse_normalize=False greedy_hse_density=False greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 acs_seed_topk=0 acs_rec_radius=2 acs_anomaly_boost=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=None seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 3090
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
[data] Graph size: 4019 nodes, 53834 edges
[data] GPU memory: 25.3 GB
[data] Using high-memory thresholds (80K nodes, 500K edges)
[intent] source=random, dim=256
[encoder] vanilla GCNConv
(T) | Epoch=001, loss=10.3814, con=8.9916, intent=4.8414, rec=0.0063, this epoch 1.2774, total 1.2774
(T) | Epoch=002, loss=10.2350, con=8.9905, intent=4.1931, rec=0.0120, this epoch 0.8511, total 2.1285
(T) | Epoch=003, loss=10.0994, con=8.9889, intent=3.6800, rec=0.0031, this epoch 0.8432, total 2.9717
(T) | Epoch=004, loss=9.9832, con=8.9802, intent=3.2930, rec=0.0010, this epoch 0.8521, total 3.8238
(T) | Epoch=005, loss=9.9091, con=8.9856, intent=3.0164, rec=0.0004, this epoch 0.8779, total 4.7017
(T) | Epoch=006, loss=9.8551, con=8.9871, intent=2.8289, rec=0.0000, this epoch 0.8315, total 5.5332
(T) | Epoch=007, loss=9.8192, con=8.9874, intent=2.7082, rec=0.0000, this epoch 0.8389, total 6.3720
(T) | Epoch=008, loss=9.7964, con=8.9871, intent=2.6343, rec=0.0000, this epoch 0.8344, total 7.2064
(T) | Epoch=009, loss=9.7812, con=8.9859, intent=2.5897, rec=0.0000, this epoch 0.8356, total 8.0420
(T) | Epoch=010, loss=9.7687, con=8.9827, intent=2.5608, rec=0.0000, this epoch 0.8434, total 8.8855
(T) | Epoch=011, loss=9.7512, con=8.9723, intent=2.5390, rec=0.0000, this epoch 0.8538, total 9.7393
(T) | Epoch=012, loss=9.6892, con=8.9163, intent=2.5211, rec=0.0000, this epoch 0.8492, total 10.5885
(T) | Epoch=013, loss=9.7025, con=8.9351, intent=2.5048, rec=0.0000, this epoch 0.8461, total 11.4347
(T) | Epoch=014, loss=9.6908, con=8.9272, intent=2.4948, rec=0.0000, this epoch 0.8535, total 12.2882
(T) | Epoch=015, loss=9.6530, con=8.8926, intent=2.4864, rec=0.0000, this epoch 0.8470, total 13.1352
(T) | Epoch=016, loss=9.6430, con=8.8852, intent=2.4792, rec=0.0000, this epoch 0.8425, total 13.9777
(T) | Epoch=017, loss=9.5228, con=8.7670, intent=2.4748, rec=-0.0000, this epoch 1.0648, total 15.0425
(T) | Epoch=018, loss=9.4791, con=8.7253, intent=2.4705, rec=0.0000, this epoch 0.8522, total 15.8947
(T) | Epoch=019, loss=9.5947, con=8.8423, intent=2.4670, rec=0.0000, this epoch 0.8458, total 16.7405
(T) | Epoch=020, loss=9.6718, con=8.9209, intent=2.4640, rec=-0.0000, this epoch 0.8471, total 17.5875
(T) | Epoch=021, loss=9.6806, con=8.9309, intent=2.4613, rec=0.0000, this epoch 0.9351, total 18.5226
