[log] 运行日志写入: log/run_ACM_20260901_161336.log
[config] cand_sources=embed num_cand_per_node=5 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.0 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.0 ilssc_warmup=0 ilssc_ramp=0 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(10, 20, 50, 'oracle') cs_w_list=(0.0, 0.1, 0.2, 0.3, 0.5, 0.7, 1.0, 1.5, 2.0) greedy_patience=0 greedy_min_gain_tol=0.0 greedy_size_penalty=0.0 greedy_balance_alpha=0.15 greedy_max_size=0 greedy_adaptive_cap_alpha=0.0 greedy_adaptive_cap_floor=0 greedy_trace_cap_ratio=1.5 trace_early_stop_w=None frontier_batch_size=1 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.0 greedy_comm_cohesion_beta=0.0 greedy_comm_direct_beta=0.0 greedy_boundary_gamma=0.0 greedy_hse_pool_size=0 greedy_hse_normalize=False greedy_hse_density=False greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 acs_seed_topk=0 acs_rec_radius=2 acs_anomaly_boost=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=None seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 3090
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[data] Graph size: 4019 nodes, 53834 edges
[data] GPU memory: 25.3 GB
[data] Using high-memory thresholds (80K nodes, 500K edges)
[intent] source=random, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
(T) | Epoch=001, loss=10.3013, con=8.9049, intent=4.9206, rec=0.0201, this epoch 1.6696, total 1.6696  alpha=[pap:0.491, psp:0.509]
(T) | Epoch=002, loss=9.9549, con=8.9377, intent=3.9175, rec=0.0118, this epoch 1.2471, total 2.9167
(T) | Epoch=003, loss=9.8034, con=8.9326, intent=3.4621, rec=0.0050, this epoch 1.2749, total 4.1917
(T) | Epoch=004, loss=9.6809, con=8.9122, intent=3.1407, rec=0.0049, this epoch 1.2712, total 5.4629
(T) | Epoch=005, loss=9.5727, con=8.8747, intent=2.9169, rec=0.0041, this epoch 1.2942, total 6.7571
(T) | Epoch=006, loss=9.4865, con=8.8281, intent=2.7754, rec=0.0043, this epoch 1.2581, total 8.0152
(T) | Epoch=007, loss=9.4141, con=8.7807, intent=2.6828, rec=0.0071, this epoch 1.2649, total 9.2801
(T) | Epoch=008, loss=9.3221, con=8.7046, intent=2.6225, rec=0.0078, this epoch 1.2759, total 10.5560
(T) | Epoch=009, loss=9.2055, con=8.5994, intent=2.5741, rec=0.0081, this epoch 1.2861, total 11.8420
(T) | Epoch=010, loss=9.1975, con=8.5982, intent=2.5438, rec=0.0085, this epoch 1.2585, total 13.1005  alpha=[pap:0.592, psp:0.408]
(T) | Epoch=011, loss=9.1375, con=8.5469, intent=2.5287, rec=0.0038, this epoch 1.2561, total 14.3566
(T) | Epoch=012, loss=9.2689, con=8.6894, intent=2.5237, rec=0.0032, this epoch 1.2611, total 15.6177
(T) | Epoch=013, loss=9.2555, con=8.6791, intent=2.5180, rec=0.0047, this epoch 1.3006, total 16.9183
(T) | Epoch=014, loss=9.0737, con=8.4907, intent=2.5117, rec=0.0058, this epoch 1.2590, total 18.1772
(T) | Epoch=015, loss=9.1148, con=8.5250, intent=2.5067, rec=0.0059, this epoch 1.2568, total 19.4340
(T) | Epoch=016, loss=9.1379, con=8.5392, intent=2.5027, rec=0.0072, this epoch 1.2682, total 20.7022
(T) | Epoch=017, loss=9.0435, con=8.4412, intent=2.4986, rec=0.0112, this epoch 1.2733, total 21.9755
(T) | Epoch=018, loss=9.0651, con=8.4638, intent=2.4958, rec=0.0074, this epoch 1.2579, total 23.2334
(T) | Epoch=019, loss=9.1148, con=8.5133, intent=2.4929, rec=0.0060, this epoch 1.2459, total 24.4792
(T) | Epoch=020, loss=9.0781, con=8.4722, intent=2.4887, rec=0.0038, this epoch 1.2700, total 25.7492  alpha=[pap:0.588, psp:0.412]
(T) | Epoch=021, loss=9.1010, con=8.4884, intent=2.4857, rec=0.0031, this epoch 1.4618, total 27.2111
(T) | Epoch=022, loss=8.9622, con=8.3377, intent=2.4828, rec=0.0040, this epoch 1.2538, total 28.4648
(T) | Epoch=023, loss=9.0011, con=8.3648, intent=2.4805, rec=0.0049, this epoch 1.3566, total 29.8215
(T) | Epoch=024, loss=9.1187, con=8.4719, intent=2.4781, rec=0.0046, this epoch 1.2576, total 31.0791
(T) | Epoch=025, loss=9.1803, con=8.5233, intent=2.4749, rec=0.0043, this epoch 1.2645, total 32.3435
(T) | Epoch=026, loss=9.1135, con=8.4456, intent=2.4714, rec=0.0049, this epoch 1.2684, total 33.6120
